n_samples,n_features,feature_mean,feature_std,coeff_variation,pca_explained_variance,avg_skewness,avg_kurtosis,mean_abs_correlation,n_zero_variance_features,mean_variance,median_variance,mean_feature_entropy,dataset_name,split,model_name,accuracy,f1_score,auc_roc
460,8,0.00436908587992764,0.9865473411530973,225.80177370407657,0.8223880806481259,0.507063675064261,2.720897025107616,0.17314398758076535,0,0.9729030482855795,0.9713021948156723,1.6139281108154235,Diabetes,train,Logistic Regression,,,
154,8,0.007117653112860532,0.9662248212403143,135.75047925481095,0.811615855966155,0.3825092295583694,1.8588731073563582,0.16238468352930216,0,0.9313043502521321,0.9255488180735932,1.794829592705811,Diabetes,val,Logistic Regression,0.7987012987012987,0.6804123711340206,0.8505555555555556
154,8,-0.020168169377579002,1.0703836328830607,-53.072919650952976,0.8307577417953189,0.6415629953949058,2.7599692975915393,0.18726627135234652,0,1.1439637813688859,1.0738715057700983,1.670993952869372,Diabetes,test,Logistic Regression,0.7272727272727273,0.5714285714285714,0.8220370370370371
460,8,0.00436908587992764,0.9865473411530973,225.80177370407657,0.8223880806481259,0.507063675064261,2.720897025107616,0.17314398758076535,0,0.9729030482855795,0.9713021948156723,1.6139281108154235,Diabetes,train,Random Forest,,,
154,8,0.007117653112860532,0.9662248212403143,135.75047925481095,0.811615855966155,0.3825092295583694,1.8588731073563582,0.16238468352930216,0,0.9313043502521321,0.9255488180735932,1.794829592705811,Diabetes,val,Random Forest,0.7597402597402597,0.6336633663366337,0.8512037037037038
154,8,-0.020168169377579002,1.0703836328830607,-53.072919650952976,0.8307577417953189,0.6415629953949058,2.7599692975915393,0.18726627135234652,0,1.1439637813688859,1.0738715057700983,1.670993952869372,Diabetes,test,Random Forest,0.7597402597402597,0.6336633663366337,0.8228703703703704
460,8,0.00436908587992764,0.9865473411530973,225.80177370407657,0.8223880806481259,0.507063675064261,2.720897025107616,0.17314398758076535,0,0.9729030482855795,0.9713021948156723,1.6139281108154235,Diabetes,train,Decision Tree,,,
154,8,0.007117653112860532,0.9662248212403143,135.75047925481095,0.811615855966155,0.3825092295583694,1.8588731073563582,0.16238468352930216,0,0.9313043502521321,0.9255488180735932,1.794829592705811,Diabetes,val,Decision Tree,0.7597402597402597,0.6666666666666666,0.7425925925925926
154,8,-0.020168169377579002,1.0703836328830607,-53.072919650952976,0.8307577417953189,0.6415629953949058,2.7599692975915393,0.18726627135234652,0,1.1439637813688859,1.0738715057700983,1.670993952869372,Diabetes,test,Decision Tree,0.6948051948051948,0.5252525252525253,0.6457407407407407
460,8,0.00436908587992764,0.9865473411530973,225.80177370407657,0.8223880806481259,0.507063675064261,2.720897025107616,0.17314398758076535,0,0.9729030482855795,0.9713021948156723,1.6139281108154235,Diabetes,train,K-Nearest Neighbors,,,
154,8,0.007117653112860532,0.9662248212403143,135.75047925481095,0.811615855966155,0.3825092295583694,1.8588731073563582,0.16238468352930216,0,0.9313043502521321,0.9255488180735932,1.794829592705811,Diabetes,val,K-Nearest Neighbors,0.7272727272727273,0.58,0.8305555555555555
154,8,-0.020168169377579002,1.0703836328830607,-53.072919650952976,0.8307577417953189,0.6415629953949058,2.7599692975915393,0.18726627135234652,0,1.1439637813688859,1.0738715057700983,1.670993952869372,Diabetes,test,K-Nearest Neighbors,0.7077922077922078,0.5631067961165048,0.7438888888888888
460,8,0.00436908587992764,0.9865473411530973,225.80177370407657,0.8223880806481259,0.507063675064261,2.720897025107616,0.17314398758076535,0,0.9729030482855795,0.9713021948156723,1.6139281108154235,Diabetes,train,Naive Bayes,,,
